Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VN30,1357.95,22/10/2024,13:58:58,1358.19,1358.27,1357.95,1357.95,1082500
VN30,1357.76,22/10/2024,13:59:58,1357.90,1358.29,1357.72,1357.76,1265000
VN30,1356.97,22/10/2024,14:00:58,1357.36,1357.68,1356.97,1356.97,1055500
VN30,1356.25,22/10/2024,14:01:58,1357.03,1357.09,1356.25,1356.25,2700200
VN30,1355.60,22/10/2024,14:02:58,1356.40,1356.45,1355.60,1355.60,1763100
VN30,1354.69,22/10/2024,14:03:58,1356.06,1356.06,1354.69,1354.69,2675700
VN30,1354.58,22/10/2024,14:04:58,1354.63,1355.09,1354.52,1354.58,4069000
VN30,1354,22/10/2024,14:05:58,1354.73,1354.73,1354,1354,3972000
VN30,1353.24,22/10/2024,14:06:58,1353.88,1354.16,1353.08,1353.24,4565600
VN30,1352.39,22/10/2024,14:07:58,1352.81,1352.81,1352.35,1352.39,4722300
VN30,1352.55,22/10/2024,14:08:58,1352.25,1353.22,1352.20,1352.55,4097200
VN30,1354.37,22/10/2024,14:09:58,1353.12,1354.37,1352.77,1354.37,3130900
VN30,1353.11,22/10/2024,14:10:58,1353.61,1354.22,1353.11,1353.11,1511200
VN30,1354,22/10/2024,14:11:58,1353.24,1354.12,1353.24,1354,1577400
VN30,1353.42,22/10/2024,14:12:58,1353.85,1353.90,1353.39,1353.42,1931900
VN30,1353.77,22/10/2024,14:13:58,1353.62,1353.77,1352.98,1353.77,1240300
VN30,1352.78,22/10/2024,14:14:58,1353.52,1353.79,1352.42,1352.78,2276400
VN30,1354.73,22/10/2024,14:15:58,1354.14,1354.73,1352.67,1354.73,2192200
VN30,1353.92,22/10/2024,14:16:58,1354.08,1354.15,1353.61,1353.92,2097400
VN30,1354.17,22/10/2024,14:17:58,1353.90,1354.17,1353.41,1354.17,2309200
VN30,1353.50,22/10/2024,14:18:58,1353.98,1353.99,1353.11,1353.50,2211500
VN30,1352.82,22/10/2024,14:19:58,1353.66,1353.66,1352.49,1352.82,2310900
VN30,1351.64,22/10/2024,14:20:58,1352.56,1352.59,1351.30,1351.64,7356200
VN30,1349.37,22/10/2024,14:21:58,1351.22,1351.22,1349.06,1349.37,7021800
VN30,1347.53,22/10/2024,14:22:58,1349.08,1349.46,1347.53,1347.53,9246600
VN30,1345.72,22/10/2024,14:23:58,1347.12,1347.18,1345.72,1345.72,10517100
VN30,1344.55,22/10/2024,14:24:58,1345.66,1345.66,1344.17,1344.55,8262400
VN30,1344.68,22/10/2024,14:25:58,1344.37,1345.32,1344.10,1344.68,8005200
VN30,1345.63,22/10/2024,14:26:58,1344.67,1346.21,1344.55,1345.63,6154000
VN30,1347.95,22/10/2024,14:27:58,1346.44,1348.39,1346.44,1347.95,3411700
VN30,1350.22,22/10/2024,14:28:58,1348.35,1350.22,1348.35,1350.22,4178100
VN30,1350.03,22/10/2024,14:29:58,1349.98,1350.19,1349.41,1350.03,3590600
VN30,1349.99,22/10/2024,14:30:03,1349.99,1349.99,1349.99,1349.99,154700
VN30,1348.92,22/10/2024,14:45:04,1348.92,1348.92,1348.92,1348.92,21428900
VN30,1349.56,23/10/2024,09:15:56,1348.91,1349.67,1348.91,1349.56,380400
VN30,1350.25,23/10/2024,09:16:56,1349.32,1350.25,1349.32,1350.25,657400
VN30,1349.97,23/10/2024,09:17:56,1350.44,1350.44,1349.74,1349.97,812800
VN30,1350.61,23/10/2024,09:18:56,1350.07,1350.78,1349.77,1350.61,1003100
VN30,1351.32,23/10/2024,09:19:56,1350.45,1351.44,1350.31,1351.32,1127100
VN30,1351.44,23/10/2024,09:20:56,1351.19,1351.67,1351.08,1351.44,1351300
VN30,1350.87,23/10/2024,09:21:56,1351.29,1351.29,1350.72,1350.87,1432000
VN30,1350.24,23/10/2024,09:22:56,1350.77,1350.94,1350.13,1350.24,1083200
VN30,1349.16,23/10/2024,09:23:56,1349.89,1350.01,1349.05,1349.16,1362300
VN30,1348.04,23/10/2024,09:24:56,1348.85,1348.95,1348.04,1348.04,1417500
VN30,1347.76,23/10/2024,09:25:56,1348.50,1348.70,1347.76,1347.76,1042600
VN30,1347.25,23/10/2024,09:26:56,1347.94,1347.98,1347.12,1347.25,1432100
VN30,1346.99,23/10/2024,09:27:56,1347.25,1347.74,1346.95,1346.99,1164900
VN30,1347.28,23/10/2024,09:28:56,1347.16,1347.61,1347.16,1347.28,1278500
VN30,1346.30,23/10/2024,09:29:56,1346.99,1347.29,1346.30,1346.30,1188800
VN30,1346.15,23/10/2024,09:30:57,1346.62,1346.62,1345.63,1346.15,1502600
VN30,1346.03,23/10/2024,09:31:57,1346.33,1346.33,1345.98,1346.03,1712800
VN30,1345.90,23/10/2024,09:32:57,1346.12,1346.26,1345.90,1345.90,990500
